iso3_d,hs92,potential_market_imports_sum
ARG,8506,5711927390.0
ARG,8507,69403461367.0
ARG,8508,8830882209.0
ARG,8509,16355962774.0
ARG,8510,3299333916.0
ARG,8511,11101622928.0
ARG,8512,15454712801.0
ARG,8513,1735285402.0
ARG,8514,3525934227.0
ARG,8515,5825938234.0
ARG,8516,33482079319.0
ARG,8517,21265663903.0
ARG,8518,32892925354.0
ARG,8519,1935756548.0
ARG,8520,48294.0
ARG,8521,30255340707.0
ARG,8522,389167176.0
ARG,8523,31681181559.0
ARG,8524,1618282.0
ARG,8525,349336810878.0
ARG,8526,15464284383.0
ARG,8527,5688393212.0
ARG,8528,34233573985.0
ARG,8529,23022887485.0
ARG,8530,1299774862.0
ARG,8531,11306652644.0
ARG,8532,13051759930.0
ARG,8533,5506064968.0
ARG,8534,15174377822.0
ARG,8535,5665706122.0
ARG,8536,71842319114.0
ARG,8537,43122396777.0
ARG,8538,24911652600.0
ARG,8539,4326386331.0
ARG,8540,1264014613.0
ARG,8541,65572261490.0
ARG,8542,223757952003.0
ARG,8543,39783557211.0
ARG,8544,83344265801.0
ARG,8545,2205488799.0
ARG,8546,1327625652.0
ARG,8547,4621117655.0
ARG,8548,1576420860.0
ARG,8601,802300763.0
ARG,8602,912785154.0
ARG,8603,3000720263.0
ARG,8604,602403299.0
ARG,8605,732357080.0
ARG,8606,4264196092.0
ARG,8607,6733565926.0
ARG,8608,494429563.0
ARG,8609,3619870875.0
ARG,8701,29736532011.0
